keyword,sentiment,weight
bullish,positive,3.0
bull,positive,2.5
surge,positive,2.0
rally,positive,2.0
gain,positive,1.5
rise,positive,1.5
up,positive,1.0
positive,positive,1.0
strong,positive,1.0
growth,positive,1.5
profit,positive,2.0
earnings,positive,2.0
beat,positive,2.5
exceed,positive,2.0
outperform,positive,2.5
buy,positive,2.0
buying,positive,2.0
buyback,positive,1.5
dividend,positive,1.5
upgrade,positive,2.0
bearish,negative,3.0
bear,negative,2.5
crash,negative,3.0
plunge,negative,2.5
drop,negative,1.5
fall,negative,1.5
down,negative,1.0
negative,negative,1.0
weak,negative,1.0
loss,negative,2.0
decline,negative,1.5
miss,negative,2.5
underperform,negative,2.5
sell,negative,2.0
selling,negative,2.0
downgrade,negative,2.0
bankruptcy,negative,3.0
default,negative,3.0
volatile,neutral,1.0
stable,neutral,1.0
steady,neutral,1.0
maintain,neutral,1.0
hold,neutral,1.0
neutral,neutral,1.0
flat,neutral,1.0
consolidate,neutral,1.0
range,neutral,1.0
sideways,neutral,1.0 
